,id,event_id,type_id,event_name,period_id,min,sec,team_id,outcome,x,y,timestamp,last_modified,version,player_id,keypass,competition_id,game_id,home_team_id,home_team_name,away_team_id,away_team_name,competition_name,season_id,276,328,388,391,Assisted,Big Chance,Blocked x co-ordinate,Blocked y co-ordinate,Box-centre,Close left,From corner,GK X Coordinate,GK Y Coordinate,Goal mouth y co-ordinate,Goal mouth z co-ordinate,Head,High right,Individual Play,Intentional assist,Left,Not past goal line,Out of box-centre,Regular play,Related event ID,Right,Right footed,Set piece,Standing,Swerve Right,Throw-in set piece,Volley,Weak,Zone,assist,Box-left,High,Left footed,Close right,Free kick,Strong,Close high,35+ right,Close right and high,Swerve Left,35+ centre,Box-right,Box-deep left,High left,Small box-right,233,Fast break,Keeper Saved,314,Close left and high,Small box-left,Small box-centre,Out of box-right,389,Out of box-deep right,Other body part,35+ left,Out of box-left,Out of box-deep left,Box-deep right
5,2295464397,705,13,Miss,2,77,54,201,1,76.1,41.7,2021-05-06T20:08:48.198,2021-05-07T22:14:37,1620418822644,437860,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,sim,,,sim,,,,-,,-,96.5,48.7,57.5,69.4,-,,sim,sim,,,sim,sim,704,,-,,,,,,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2295466753,815,13,Miss,2,90,5,201,1,88.0,61.6,2021-05-06T20:20:58.670,2021-05-07T22:15:09,1620421183947,444102,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,-,,,-,,,,sim,,-,97.5,53.2,33.9,50,-,,sim,-,,,-,sim,-,,sim,,,,,,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2295467595,851,13,Miss,2,96,8,201,1,78.9,55.5,2021-05-06T20:27:01.675,2021-05-07T22:15:27,1620421893209,244731,-,99,2133444,251,Benfica,201,FC Porto,Portuguese Primeira Liga,2020,,-,,,-,,,,-,,sim,97.3,50.5,47.2,73.6,-,,sim,-,,,sim,-,-,,sim,,,,,,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2213080643,79,13,Miss,1,7,36,201,1,88.0,50.9,2020-09-19T21:08:50.387,2020-09-22T08:28:48,1600759727031,18522,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,sim,,sim,-,,,sim,,-,0.7,51.1,29.2,8.3,sim,-,-,sim,,,-,-,77,,-,sim,-,-,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2213081735,87,13,Miss,1,9,48,372,1,76.6,74.0,2020-09-19T21:11:02.413,2020-09-22T08:04:39,1600758278747,155476,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,-,-,,sim,-,,,-,,-,97.8,52.0,40.2,65.3,-,sim,sim,-,,,sim,sim,86,,sim,-,sim,-,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2213089953,250,13,Miss,1,26,46,201,1,75.6,52.0,2020-09-19T21:28:00.785,2020-09-22T08:31:25,1600759885764,120188,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,-,-,,-,-,,,-,,sim,2.8,50.5,31.1,91.7,-,sim,sim,-,,,sim,-,-,,sim,-,sim,-,,sim,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2213093961,275,13,Miss,1,34,42,372,1,71.8,28.6,2020-09-19T21:35:56.795,2020-09-22T08:00:56,1600758055894,168650,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,-,-,,-,-,,,-,,-,98.0,48.2,43.0,11.1,-,-,-,-,,,sim,-,-,,-,-,sim,sim,,-,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2213094829,336,13,Miss,1,36,27,201,1,92.2,54.8,2020-09-19T21:37:41.672,2020-09-22T08:05:29,1600758329435,96432,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,sim,,sim,sim,,,sim,,-,0.9,50.4,43.2,68.1,-,sim,-,sim,,,-,sim,335,,sim,-,-,-,,sim,,Center,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2213105703,422,13,Miss,2,48,14,372,1,87.8,53.8,2020-09-19T22:12:45.108,2020-09-22T08:09:36,1600758564170,155476,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,-,-,,sim,sim,,,sim,,-,2.3,48.6,49.7,81.9,-,-,-,sim,,,-,sim,420,,sim,-,sim,-,,-,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2213107707,566,13,Miss,2,55,49,201,1,91.0,53.1,2020-09-19T22:20:20.024,2020-09-22T09:42:28,1600764141874,18522,-,99,2133174,201,FC Porto,372,Sporting Braga,Portuguese Primeira Liga,2020,,sim,sim,,sim,-,,,sim,,sim,99.4,48.4,55.8,77.8,sim,-,-,sim,,,-,-,565,,-,-,-,-,,-,,Center,-,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
